decMode ,subMode, nSig  , eNsig ,purity , -coef , eCoef , decStr
      28,  1    , 1672  , 1167  ,   85  ,  65.6 , 5.2   ,#mu^{+}#mu^{-}#pi^{+}K_{S}^{0}
       4, 999   , 427   , 126   ,   94  ,  55.1 ,  16   ,#bar{D}^{0}#pi^{+}#pi^{+}#pi^{-}#pi^{0}
      14, 999   , 11130 , 3221  ,   86  , 169.8 , 7.0   ,D^{+}_{S}#bar{D}^{0}             
      16, 999   , 2434  , 743   ,   91  ,  84.6 ,  11   ,#bar{D}^{0*}#pi^{+}#pi^{0}     
      20, 999   , 2993  , 1086  ,   78  , 298.8 ,  24   ,D^{+*}_{S}#bar{D}^{0}          
      22, 999   , 4274  , 9245  ,   57  , 104.7 , 1.9   ,#bar{D}^{0}K^{+}              
      23, 999   , 4967  , 7508  ,   72  ,  69.4 , 1.9   ,D^{-}#pi^{+}#pi^{+}              
      24, 999   , 222   , 311   ,   73  ,  73.0 ,  10   ,D^{-}#pi^{+}#pi^{+}#pi^{0}         
      30, 999   , 772   , 559   ,   83  ,  76.4 , 8.4   ,#Lambda^{-}_cp#pi^{+}#pi^{-}#pi^{+}
      31, 999   , 713   , 1497  ,   60  ,  94.9 , 4.6   ,#bar{D}^{0*}p#bar{p}#pi^{+}  
